type,pdf,page,codice_fs,numero_documento,descrizione_pdf,descrizione_program
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,36,"1/4""",,(CPC EFCX17412),(CPC EFC22412)
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,38,725/777,4141201748,Interruttore magnetotermico unipolare 100A (ABB S120439),Interruttore magnetotermico unipolare 100A (ABB
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,38,725/778,4141201749,Interruttore magnetotermico unipolare 125A + ausiliario (ABB),Interruttore magnetotermico unipolare 125A +
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,38,330/556,4141201747,Interruttore magnetotermico unipolare 16A curva S281 (ABB 11864326),Interruttore magnetotermico unipolare 16A curva
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,38,330/594,4141201746,Interruttore magnetotermico unipolare 3A curva S281 (ABB 11864314),Interruttore magnetotermico unipolare 3A curva
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,38,725/781,4141201156,Relè di misura a soglia di tensione 110V (Chauvin MOK-V2-110),Relè di misura a soglia di tensione 110V (Chauvin
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,38,,4141201911,Kit terminali esterni frontali 6 pz per interruttore (ABB),Kit terminali esterni frontali 6 pz per interruttore
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,38,,4141201912,Kit divisori di partizioni H=100 mm per interruttore (ABB),Kit divisori di partizioni H=100 mm per interruttore
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,42,725/777,4141201748,Interruttore magnetotermico unipolare 100A (ABB S120439),Interruttore magnetotermico unipolare 100A (ABB
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,42,725/778,4141201749,Interruttore magnetotermico unipolare 125A + ausiliario (ABB),Interruttore magnetotermico unipolare 125A +
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,42,330/556,4141201747,Interruttore magnetotermico unipolare 16A curva S281 (ABB 11864326),Interruttore magnetotermico unipolare 16A curva
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,42,330/594,4141201746,Interruttore magnetotermico unipolare 3A curva S281 (ABB 11864314),Interruttore magnetotermico unipolare 3A curva
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,42,725/781,4141201156,Relè di misura a soglia di tensione 110V (Chauvin MOK-V2-110),Relè di misura a soglia di tensione 110V (Chauvin
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,42,,4141201911,Kit terminali esterni frontali 6 pz per interruttore (ABB),Kit terminali esterni frontali 6 pz per interruttore
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,42,,4141201912,Kit divisori di partizioni H=100 mm per interruttore (ABB),Kit divisori di partizioni H=100 mm per interruttore
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,,EC030002416P01,Piastra equipotenziale multipla a 2 contatti (Isolex ID10205-2),Piastra equipotenziale multipla a 2 contatti (Isolex
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,,EC030002416P02,Piastra equipotenziale multipla a 3 contatti (Isolex ID10205-3),Piastra equipotenziale multipla a 3 contatti (Isolex
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,725/783,,Power Pack Supply Convertitore DC/DC (Powernet DDC 99701),Power Pack Supply Convertitore DC/DC (Powernet
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,725/784,,Connettore circolare fisso 20-15 7 poli (Van-System serie KVBS),Connettore circolare fisso 20-15 7 poli (Van-System
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,,EC030005148P01,"Connettore per convertitore DFMC 1,5/11-ST-3,5-LR (Phoenix 1790577)","Connettore per convertitore DFMC 1,5/11-ST-3,5-LR"
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,,EC030005148P02,"Connettore per convertitore PC 35 HC/4-STF-15,00 (Phoenix 1762615)","Connettore per convertitore PC 35 HC/4-STF-15,00"
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,725/462,EC03P023221B09,Connettore circolare fisso 6 poli (Van-System 03827B),Connettore circolare fisso 6 poli (Van-System
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,725/785,,Interruttore magnetotermico unipolare 63A curva tipo S800N (ABB S120436+A120681+A120824),Interruttore magnetotermico unipolare 63A curva
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,725/460,EC03P023221B06,Connettore circolare fisso 6 poli (Van-System 03812C),Connettore circolare fisso 6 poli (Van-System
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,725/461,EC03P023221B07,Connettore circolare fisso 6 poli (Van-System 03827),Connettore circolare fisso 6 poli (Van-System
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,,EC030005148P03,"Connettore per convertitore PC 16/3-STF-10,16 (Phoenix 1967469)","Connettore per convertitore PC 16/3-STF-10,16"
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,330/544,211EK22984B114,Interruttore magnetotermico unipolare 3A curva S281 (ABB 11864378),Interruttore magnetotermico unipolare 3A curva
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,52,330/556,211EK22984B04,Interruttore magnetotermico unipolare 16A curva tipo S281 (ABB 11864326),Interruttore magnetotermico unipolare 16A curva
desc_diff,HTR412-HTR312-CPR-2.05.1284_Caricabatterie e batterie (ed. 02-2025)-compressed.pdf,54,C1200-04618,,cod. 40),cod. 22)
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,30,337/964,374311,STRISCIANTE CENTRALE 3-54071 MERSEN SCHUNK,STRISCIANTE CENTRALE 3-54071 MERSEN
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,32,560/231,,CUSTODIA FISSA PASSANTE HAN HPR (HARTING COD. 09 40 006 0311),CUSTODIA FISSA PASSANTE HAN HPR (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,32,385/944,,TELAIO INCERNIERATO HAN 6B 2 MODULI COD. 09 14 006 0313),TELAIO INCERNIERATO HAN 6B 2 MODULI
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,32,895/154,,MODULO MASCHIO HAN EEE 20 POLI 16 A COD. 09 14 020 3001),MODULO MASCHIO HAN EEE 20 POLI 16 A
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,32,388/468,,"CONTATTO MASCHIO SEZ. 1,5 mm² (HARTING 09 33 000 6104)","CONTATTO MASCHIO SEZ. 1,5 mm² (HARTING"
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,32,327/721,,CONTATTO MASCHIO SEZ. 1 mm² (HARTING 33 000 6105),CONTATTO MASCHIO SEZ. 1 mm² (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,40,,232C10235D,CONNETTORE DI ALIMENTAZIONE (SOURIAU UT00104PH),CONNETTORE DI ALIMENTAZIONE (SOURIAU
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,40,720/080,232C10235D,SCHEDA FIBRE OTTICHE MR960 REMOTE UNIT (MICRONOR COD. 9900.03.200),SCHEDA FIBRE OTTICHE MR960 REMOTE UNIT
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,40,,232C10235D,"VITE A COLLETTO M2,5x12,3 (SCHROFF COD. 101)","VITE A COLLETTO M2,5x12,3 (SCHROFF COD."
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,,CUSTODIA FISSA HPR 24B 1xM40 (HARTING 40 024 1263),CUSTODIA FISSA HPR 24B 1xM40 (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,706/928,,INSERTO MASCHIO HAN QUINTAX (HARTING 14 002 3001),INSERTO MASCHIO HAN QUINTAX (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,,INSERTO MASCHIO HAN DDD 17 POLI (HARTING COD. 09 14 017 3001),INSERTO MASCHIO HAN DDD 17 POLI (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,385/893,,INSERTO MASCHIO HAN CC 4 POLI (HARTING 09 14 004 3041),INSERTO MASCHIO HAN CC 4 POLI (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,,TELAIO INCERNIERATO 24B 6 MODULI (HARTING COD. 09 14 024 0371),TELAIO INCERNIERATO 24B 6 MODULI (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,,MODULO MASCHIO HAN D QUINTAX 4 POLI (HARTING COD. 09 15 004 3013),MODULO MASCHIO HAN D QUINTAX 4 POLI
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,106/406,,CONTATTO MASCHIO AWG 26-22 (HARTING 15 000 6124),CONTATTO MASCHIO AWG 26-22 (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,106/404,,CONTATTO MASCHIO AWG 18 (HARTING COD. 000 6122),CONTATTO MASCHIO AWG 18 (HARTING COD.
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,,CONTATTO MASCHIO AWG 16 (HARTING COD. 000 6121),CONTATTO MASCHIO AWG 16 (HARTING COD.
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,385/390,,CONTATTO MASCHIO AWG 10 (HARTING COD. 000 6108),CONTATTO MASCHIO AWG 10 (HARTING COD.
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,232C10372E,CONNETTORE PER INTERRUTTORE DI PRESSIONE (SUCO COD. 1180652002),CONNETTORE PER INTERRUTTORE DI PRESSIONE
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,211VJ01592B193,"RACCORDO DIRITTO NW29 M32x1,5 (PMA COD. NVNV-M329-8)","RACCORDO DIRITTO NW29 M32x1,5 (PMA COD."
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,44,,211VJ01592B195,"RACCORDO DIRITTO NW29 M40x1,5 (PMA COD. NVNV-M409-8)","RACCORDO DIRITTO NW29 M40x1,5 (PMA COD."
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,,211VJ01592B191,"RACCORDO DIRITTO NW23 M32x1,5 (PMA COD. NVNV-M323-8)","RACCORDO DIRITTO NW23 M32x1,5 (PMA COD."
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,,,CUSTODIA VOLANTE HPR 6B 1xM32 (HARTING 19 40 006 0512),CUSTODIA VOLANTE HPR 6B 1xM32 (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,385/944,,TELAIO INCERNIERATO HAN 6B 2 MODULI COD. 09 14 006 0313),TELAIO INCERNIERATO HAN 6B 2 MODULI
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,713/187,,MODULO HAN EEE FEMMINA 20 POLI (HARTING 09 14 020 3101),MODULO HAN EEE FEMMINA 20 POLI (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,385/882,,CONTATTO FEMMINA AWG 18 (HARTING COD. 000 6205),CONTATTO FEMMINA AWG 18 (HARTING COD.
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,388/457,,CONTATTO FEMMINA AWG 16 (HARTING COD. 000 6204),CONTATTO FEMMINA AWG 16 (HARTING COD.
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,720/879,EC03P017920B01,CONNETTORE CIRCOLARE FEMMINA 4 POLI (SOURIAU COD. UT06104SH),CONNETTORE CIRCOLARE FEMMINA 4 POLI
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,706/480,EC03P017920B30,CONTATTO FEMMINA AWG 20-16 (SOURIAU RC16M23K),CONTATTO FEMMINA AWG 20-16 (SOURIAU
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,,EC03P000122B03,CONNETTORE SLIM M12 MASCHIO 4 POLI (HARTING COD. 21 03 881 1405),CONNETTORE SLIM M12 MASCHIO 4 POLI (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1285_Pantografo Masaccio (ed. 09-2025)-compressed.pdf,46,706/944,EC03P000122B04,CONTATTO MASCHIO AWG 24-20 (HARTING 67 000 8576),CONTATTO MASCHIO AWG 24-20 (HARTING
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,40,725/374,M2183RFHMU-P1,"Banco inferiore tipo P1, elemento riscaldante mm","Banco inferiore tipo P1, elemento riscaldante"
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,40,725/375,M2183RFHMU-P2,"Banco superiore tipo P2, elemento riscaldante mm","Banco superiore tipo P2, elemento riscaldante"
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,44,720/856,EC03P016294B01,Connettore rettangolare da pannello maschio (Van-System cod. CV010116 2-39P),Connettore rettangolare da pannello maschio
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,44,725/380,,Switch Integrated ETBN (Ethernet Train Backbone Node) 14 porte 3 bypass noPoE 110V (VDS NDS01BS002),Switch Integrated ETBN (Ethernet Train Backbone
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,44,,EC03P020926B01,Supporto terminale E/NS 35 N (Phoenix cod. 0800886),Supporto terminale E/NS 35 N (Phoenix cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,725/383,EC03P016864B10,Contattore tripolare con 1 contatto ausiliario (ABB cod. AF016ZB3010RT22),Contattore tripolare con 1 contatto ausiliario
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,563/954,EC03N000149B327,Inserto femmina Han DDD 17 poli (Harting 14 017 3101),Inserto femmina Han DDD 17 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,,EC03P017629B31,Custodia taglia 24 con taglio posteriore (Harting 64 30 429 0001 01),Custodia taglia 24 con taglio posteriore (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,385/894,EC03N000149B359,Inserto femmina Han CC 4 poli (Harting cod. 004 3141),Inserto femmina Han CC 4 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,,EC03N000149B326,Inserto maschio Han DDD 17 poli (Harting 14 017 3001),Inserto maschio Han DDD 17 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,706/928,EC03N000149B159,Modulo maschio Han Quintax (Harting cod. 002 3001),Modulo maschio Han Quintax (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,,EC03N000149B161,Inserto maschio Han D Quintax 4 poli (Harting 09 15 004 3013),Inserto maschio Han D Quintax 4 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,388/466,EC03N000149B113,Inserto maschio Han Axial 100 2 poli (Harting 09 14 002 2651),Inserto maschio Han Axial 100 2 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,560/293,EC03N000149B116,Inserto maschio Han E 6 poli (Harting cod. 3001),Inserto maschio Han E 6 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,725/431,,Connettore circolare maschio 70 poli size 16 orientamento Y (Van-System cod. KVBS030RT40A70PY LC F16 G3),Connettore circolare maschio 70 poli size 16
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,48,725/429,,Connettore circolare maschio 70 poli size 16 orientamento W (Van-System cod. KVBS030RT40A70PW LC F16 G3),Connettore circolare maschio 70 poli size 16
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,725/430,,Connettore circolare maschio 70 poli size 16 orientamento X (Van-System cod. KVBS030RT40A70PX LC F16 G3),Connettore circolare maschio 70 poli size 16
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,725/461,EC03P023221B07,Connettore circolare fisso maschio 6 poli size (Van-System cod. C1200-03827),Connettore circolare fisso maschio 6 poli size
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,725/426,,Connettore circolare maschio 19 poli size 16 orientamento Z (Van-System cod. KVBS030FT2214PZ LC F16 G3),Connettore circolare maschio 19 poli size 16
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,725/424,,Connettore circolare maschio 19 poli size 16 orientamento W (Van-System cod. KVBS030FT2214PW LC F16 G3),Connettore circolare maschio 19 poli size 16
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,725/422,,Connettore circolare maschio 19 poli size 16 orientamento N (Van-System cod. KVBS030FT2214P LC F16 G3),Connettore circolare maschio 19 poli size 16
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,549/973,,Connettore D-SUB femmina 9 poli (Harting 009 4701),Connettore D-SUB femmina 9 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,,EC03P000122B25,Connettore circolare Slim maschio 4 poli (Harting 21 03 881 1426),Connettore circolare Slim maschio 4 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,388/458,EC03N000149B112,Telaio incernierato per 6 moduli (Harting cod. 024 0303),Telaio incernierato per 6 moduli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,,EC03N000149B414,Inserto femmina Han 40A 2 poli (Harting cod. 002 3102),Inserto femmina Han 40A 2 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,388/456,EC03N000149B103,Inserto femmina Han 100A 2 poli (Harting cod. 002 2751),Inserto femmina Han 100A 2 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,50,560/276,EC03N000149B369,Inserto femmina Han DD 108 poli (Harting cod. 108 3101),Inserto femmina Han DD 108 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,720/858,EC03P016294B03,Connettore volante femmina 39 poli (Van-System CV010116 6-39S B),Connettore volante femmina 39 poli (Van-System
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,,EC03P000122B03,Connettore volante M12 maschio 4 poli (Harting 21 03 881 1405),Connettore volante M12 maschio 4 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,,,Custodia 9 poli passo 4-40 (Harting cod. 61 0010),Custodia 9 poli passo 4-40 (Harting cod. 61
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,,,Custodia 25 poli passo 4-40 (Harting cod. 61 0017),Custodia 25 poli passo 4-40 (Harting cod. 61
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,720/849,,Connettore D-SUB femmina 25 poli (Harting 67 025 4701),Connettore D-SUB femmina 25 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,313/672,211EU22392B01,Connettore rettangolare femmina 48 poli DIN (Harting cod. 09 06 248 3201),Connettore rettangolare femmina 48 poli DIN
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,,EC03P006671B06,Connettore D-SUB maschio 2 poli (Harting cod. 110 0022),Connettore D-SUB maschio 2 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,,EC03P006671B13,Custodia di plastica D-SUB 9 poli 2W2C (Conec 165 X 13369 X),Custodia di plastica D-SUB 9 poli 2W2C (Conec
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,,EC03P006671B15,Pressacavo per D-SUB 9/15 poli (Conec cod. 907600),Pressacavo per D-SUB 9/15 poli (Conec cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,549/974,,Connettore D-SUB maschio 9 poli (Harting cod. 009 5601),Connettore D-SUB maschio 9 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,52,,EC03P017619B27,Connettore rettangolare tipo GDMC 3011 nero (Hirschmann cod. 931 963-100),Connettore rettangolare tipo GDMC 3011 nero
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,54,313/672,EC03P013465B01,Connettore rettangolare femmina 48 poli DIN (Harting cod. 09 06 248 3201),Connettore rettangolare femmina 48 poli DIN
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,54,,EC03P002564B22,Connettore volante M12 femmina 5 poli (Harting 21 03 821 2505),Connettore volante M12 femmina 5 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,54,,EC03P020926B01,Supporto terminale E/NS 35 N (Phoenix cod. 0800886),Supporto terminale E/NS 35 N (Phoenix cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,725/383,EC03P016864B10,Contattore tripolare con 1 contatto ausiliario (ABB cod. AF016ZB3010RT22),Contattore tripolare con 1 contatto ausiliario
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,563/954,EC03N000149B327,Inserto femmina Han DDD 17 poli (Harting 14 017 3101),Inserto femmina Han DDD 17 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,,EC03P017629B31,Custodia taglia 24 con taglio posteriore (Harting 64 30 429 0001 01),Custodia taglia 24 con taglio posteriore (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,385/894,EC03N000149B359,Inserto femmina Han CC 4 poli (Harting cod. 004 3141),Inserto femmina Han CC 4 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,,EC03N000149B326,Inserto maschio Han DDD 17 poli (Harting 14 017 3001),Inserto maschio Han DDD 17 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,706/928,EC03N000149B159,Modulo maschio Han Quintax (Harting cod. 002 3001),Modulo maschio Han Quintax (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,,EC03N000149B161,Inserto maschio Han D Quintax 4 poli (Harting 09 15 004 3013),Inserto maschio Han D Quintax 4 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,388/466,EC03N000149B113,Inserto maschio Han Axial 100 2 poli (Harting 09 14 002 2651),Inserto maschio Han Axial 100 2 poli (Harting
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,560/293,EC03N000149B116,Inserto maschio Han E 6 poli (Harting cod. 3001),Inserto maschio Han E 6 poli (Harting cod.
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,725/431,,Connettore circolare maschio 70 poli size 16 orientamento Y (Van-System cod. KVBS030RT40A70PY LC F16 G3),Connettore circolare maschio 70 poli size 16
desc_diff,HTR412-HTR312-CPR-2.05.1286_impianto elettrico (ed. 03-2024)-compressed.pdf,56,725/429,,Connettore circolare maschio 70 poli size 16 orientamento W (Van-System cod. KVBS030RT40A70PW LC F16 G3),Connettore circolare maschio 70 poli size 16
